query_id,type,strategy,difficulty,node_type_count,method,query_size,query_density,heterogeneous,num_matches,top_score,avg_score,match_quality,recall_score,f1_score,precision_score
ego_dense_00035,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00036,ego_dense,unspecified,medium,3,embedding,4,0.3333,True,4,1.0,0.9909,partial,0.5,0.5,0.5
ego_dense_00037,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,3,1.0,0.9941,exact,1.0,1.0,1.0
ego_dense_00038,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,1,0.9649,0.9649,partial,0.6667,0.6667,0.6667
ego_dense_00039,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,10,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00040,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00041,ego_dense,unspecified,medium,1,embedding,3,0.3333,False,8,1.0,1.0,partial,0.6667,0.6667,0.6667
ego_dense_00042,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,10,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00043,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,2,0.9938,0.9927,partial,0.6667,0.6667,0.6667
ego_dense_00044,ego_dense,unspecified,easy,1,embedding,3,0.5,False,8,1.0,1.0,partial,0.6667,0.6667,0.6667
ego_dense_00045,ego_dense,unspecified,medium,3,embedding,4,0.3333,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00046,ego_dense,unspecified,easy,1,embedding,3,0.5,False,8,1.0,1.0,partial,0.6667,0.6667,0.6667
ego_dense_00047,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00048,ego_dense,unspecified,medium,1,embedding,3,0.3333,False,5,1.0,1.0,partial,0.6667,0.6667,0.6667
ego_dense_00049,ego_dense,unspecified,easy,1,embedding,3,0.5,False,10,1.0,1.0,partial,0.6667,0.6667,0.6667
ego_dense_00050,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,4,0.9896,0.9872,partial,0.6667,0.6667,0.6667
ego_dense_00051,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,3,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00052,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,7,1.0,0.9898,partial,0.6667,0.6667,0.6667
ego_dense_00053,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,1,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00054,ego_dense,unspecified,medium,3,embedding,5,0.3,True,5,0.9892,0.9726,partial,0.6,0.6,0.6
ego_dense_00055,ego_dense,unspecified,medium,1,embedding,3,0.3333,False,10,1.0,1.0,partial,0.6667,0.6667,0.6667
ego_dense_00056,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,1,0.9866,0.9866,partial,0.6667,0.6667,0.6667
ego_dense_00057,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,10,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00058,ego_dense,unspecified,medium,1,embedding,3,0.3333,False,10,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00059,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,10,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00060,ego_dense,unspecified,medium,1,embedding,3,0.3333,False,10,1.0,1.0,partial,0.6667,0.6667,0.6667
ego_dense_00061,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,1,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00062,ego_dense,unspecified,medium,1,embedding,4,0.3333,False,9,1.0,1.0,partial,0.5,0.5,0.5
ego_dense_00063,ego_dense,unspecified,easy,1,embedding,5,0.5,False,9,1.0,1.0,none,0.2,0.2,0.2
ego_dense_00064,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00065,ego_dense,unspecified,medium,1,embedding,3,0.3333,False,7,1.0,0.9965,partial,0.6667,0.6667,0.6667
ego_dense_00066,ego_dense,unspecified,medium,1,embedding,4,0.3333,False,3,1.0,1.0,partial,0.5,0.5,0.5
ego_dense_00067,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00068,ego_dense,unspecified,medium,3,embedding,4,0.3333,True,1,0.9979,0.9979,partial,0.75,0.75,0.75
ego_dense_00069,ego_dense,unspecified,easy,1,embedding,3,0.5,False,7,1.0,1.0,partial,0.6667,0.6667,0.6667
ego_dense_00070,ego_dense,unspecified,medium,3,embedding,4,0.3333,True,10,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00071,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,1,0.9515,0.9515,partial,0.6667,0.6667,0.6667
ego_dense_00072,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,2,0.9982,0.9982,partial,0.6667,0.6667,0.6667
ego_dense_00073,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,1,0.9707,0.9707,partial,0.6667,0.6667,0.6667
ego_dense_00074,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,6,1.0,0.9981,exact,1.0,1.0,1.0
ego_dense_00075,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,2,0.9998,0.9994,partial,0.6667,0.6667,0.6667
ego_dense_00076,ego_dense,unspecified,medium,3,embedding,4,0.3333,True,2,0.97,0.9682,partial,0.75,0.75,0.75
ego_dense_00077,ego_dense,unspecified,medium,1,embedding,4,0.3333,False,10,1.0,1.0,partial,0.75,0.75,0.75
ego_dense_00078,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,3,1.0,0.9764,exact,1.0,1.0,1.0
ego_dense_00079,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00080,ego_dense,unspecified,medium,1,embedding,4,0.3333,False,8,1.0,1.0,partial,0.5,0.5,0.5
ego_dense_00081,ego_dense,unspecified,medium,1,embedding,4,0.3333,False,0,0.0,0.0,none,0.0,0.0,
ego_dense_00082,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,1,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00083,ego_dense,unspecified,medium,2,embedding,3,0.3333,True,2,0.954,0.954,partial,0.6667,0.6667,0.6667
ego_dense_00084,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00085,ego_dense,unspecified,medium,1,embedding,3,0.3333,False,10,1.0,1.0,partial,0.6667,0.6667,0.6667
ego_dense_00086,ego_dense,unspecified,medium,2,embedding,3,0.3333,True,10,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00087,ego_dense,unspecified,medium,1,embedding,9,0.3333,False,10,1.0,1.0,none,0.4444,0.4444,0.4444
ego_dense_00088,ego_dense,unspecified,easy,1,embedding,3,0.5,False,10,1.0,1.0,partial,0.6667,0.6667,0.6667
ego_dense_00089,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00090,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00091,ego_dense,unspecified,medium,1,embedding,3,0.3333,False,8,1.0,1.0,partial,0.6667,0.6667,0.6667
ego_dense_00092,ego_dense,unspecified,medium,3,embedding,4,0.3333,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00093,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,2,0.9837,0.9782,partial,0.6667,0.6667,0.6667
ego_dense_00094,ego_dense,unspecified,medium,3,embedding,4,0.3333,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00095,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,5,0.9987,0.9967,partial,0.6667,0.6667,0.6667
ego_dense_00096,ego_dense,unspecified,medium,3,embedding,4,0.3333,True,10,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00097,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00098,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,10,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00099,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,8,1.0,0.9923,partial,0.6667,0.6667,0.6667
ego_dense_00100,ego_dense,unspecified,medium,3,embedding,4,0.3333,True,4,0.9906,0.9756,partial,0.5,0.5,0.5
ego_dense_00101,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00102,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00103,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,3,0.9967,0.9949,partial,0.6667,0.6667,0.6667
ego_dense_00104,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,3,0.9919,0.9811,partial,0.6667,0.6667,0.6667
ego_dense_00105,ego_dense,unspecified,medium,3,embedding,4,0.3333,True,10,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00106,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,10,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00107,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,1,0.9854,0.9854,partial,0.6667,0.6667,0.6667
ego_dense_00108,ego_dense,unspecified,medium,1,embedding,5,0.35,False,10,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00109,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,10,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00110,ego_dense,unspecified,easy,1,embedding,3,0.5,False,10,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00111,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,10,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00112,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00113,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,10,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00114,ego_dense,unspecified,easy,1,embedding,3,0.5,False,6,1.0,0.9987,partial,0.6667,0.6667,0.6667
ego_dense_00115,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00116,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00117,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00118,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,1,0.9772,0.9772,partial,0.6667,0.6667,0.6667
ego_dense_00119,ego_dense,unspecified,easy,1,embedding,3,0.5,False,0,0.0,0.0,none,0.0,0.0,
ego_dense_00120,ego_dense,unspecified,medium,1,embedding,7,0.3095,False,9,1.0,1.0,partial,0.5714,0.5714,0.5714
ego_dense_00121,ego_dense,unspecified,easy,1,embedding,3,0.5,False,10,1.0,1.0,partial,0.6667,0.6667,0.6667
ego_dense_00122,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,6,1.0,0.9932,partial,0.6667,0.6667,0.6667
ego_dense_00123,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,10,1.0,0.9971,partial,0.6667,0.6667,0.6667
ego_dense_00124,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,5,1.0,0.983,partial,0.6667,0.6667,0.6667
ego_dense_00125,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,10,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00126,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,1,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00127,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,8,0.9951,0.9882,partial,0.6667,0.6667,0.6667
ego_dense_00128,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,6,1.0,0.9885,exact,1.0,1.0,1.0
ego_dense_00129,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,10,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00130,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,5,1.0,0.9903,partial,0.6667,0.6667,0.6667
ego_dense_00131,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,9,0.9919,0.9649,partial,0.6667,0.6667,0.6667
ego_dense_00132,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,10,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00133,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,1,0.9867,0.9867,partial,0.6667,0.6667,0.6667
ego_dense_00134,ego_dense,unspecified,easy,2,embedding,3,0.5,True,2,0.9978,0.9909,partial,0.6667,0.6667,0.6667
ego_dense_00135,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00136,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,10,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00137,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,4,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00138,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00139,ego_dense,unspecified,easy,3,embedding,5,0.4,True,10,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00140,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,10,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00141,ego_dense,unspecified,medium,1,embedding,3,0.3333,False,8,1.0,1.0,partial,0.6667,0.6667,0.6667
ego_dense_00142,ego_dense,unspecified,medium,1,embedding,5,0.3,False,9,1.0,1.0,partial,0.6,0.6,0.6
ego_dense_00143,ego_dense,unspecified,medium,2,embedding,3,0.3333,True,6,0.9969,0.9645,partial,0.6667,0.6667,0.6667
ego_dense_00144,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,10,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00145,ego_dense,unspecified,medium,2,embedding,3,0.3333,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00146,ego_dense,unspecified,medium,2,embedding,3,0.3333,True,6,1.0,0.9848,exact,1.0,1.0,1.0
ego_dense_00147,ego_dense,unspecified,medium,1,embedding,5,0.3,False,10,1.0,1.0,partial,0.6,0.6,0.6
ego_dense_00148,ego_dense,unspecified,medium,1,embedding,8,0.3036,False,5,0.9995,0.9884,partial,0.75,0.75,0.75
ego_dense_00149,ego_dense,unspecified,medium,3,embedding,6,0.3333,True,8,1.0,0.9978,partial,0.8333,0.8333,0.8333
ego_dense_00150,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,5,1.0,0.9899,partial,0.6667,0.6667,0.6667
ego_dense_00151,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,1,0.9759,0.9759,partial,0.6667,0.6667,0.6667
ego_dense_00152,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00153,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,2,0.9903,0.9903,partial,0.6667,0.6667,0.6667
ego_dense_00154,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00155,ego_dense,unspecified,hard,1,embedding,15,0.319,False,10,1.0,1.0,none,0.1333,0.1333,0.1333
ego_dense_00156,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,10,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00157,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,1,0.9586,0.9586,partial,0.6667,0.6667,0.6667
ego_dense_00158,ego_dense,unspecified,medium,3,embedding,4,0.3333,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00159,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,10,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00160,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,5,0.9975,0.9972,partial,0.6667,0.6667,0.6667
ego_dense_00161,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,1,0.9831,0.9831,partial,0.6667,0.6667,0.6667
ego_dense_00162,ego_dense,unspecified,medium,2,embedding,3,0.3333,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00163,ego_dense,unspecified,medium,1,embedding,3,0.3333,False,10,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00164,ego_dense,unspecified,medium,1,embedding,3,0.3333,False,10,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00165,ego_dense,unspecified,medium,2,embedding,3,0.3333,True,4,1.0,0.9912,partial,0.6667,0.6667,0.6667
ego_dense_00166,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00167,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,6,0.9944,0.9801,partial,0.6667,0.6667,0.6667
ego_dense_00168,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,5,0.991,0.9819,partial,0.6667,0.6667,0.6667
ego_dense_00169,ego_dense,unspecified,medium,3,embedding,4,0.3333,True,5,0.9982,0.9849,partial,0.5,0.5,0.5
ego_dense_00170,ego_dense,unspecified,medium,1,embedding,3,0.3333,False,5,1.0,1.0,partial,0.6667,0.6667,0.6667
ego_dense_00171,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,2,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00172,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,2,0.9656,0.9656,partial,0.6667,0.6667,0.6667
ego_dense_00173,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,10,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00174,ego_dense,unspecified,medium,1,embedding,7,0.3095,False,5,0.9976,0.9894,none,0.4286,0.4286,0.4286
ego_dense_00175,ego_dense,unspecified,medium,1,embedding,3,0.3333,False,6,1.0,1.0,partial,0.6667,0.6667,0.6667
ego_dense_00176,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,4,0.9849,0.9804,partial,0.6667,0.6667,0.6667
ego_dense_00177,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00178,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,2,1.0,0.9857,partial,0.6667,0.6667,0.6667
ego_dense_00179,ego_dense,unspecified,medium,1,embedding,7,0.3333,False,10,1.0,1.0,partial,0.5714,0.5714,0.5714
ego_dense_00180,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,1,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00181,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,2,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00182,ego_dense,unspecified,medium,1,embedding,9,0.375,False,7,1.0,0.9932,none,0.1111,0.1111,0.1111
ego_dense_00183,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,3,0.9838,0.9821,partial,0.6667,0.6667,0.6667
ego_dense_00184,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,7,1.0,0.9989,partial,0.6667,0.6667,0.6667
ego_dense_00185,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,3,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00186,ego_dense,unspecified,easy,1,embedding,3,0.5,False,10,1.0,1.0,partial,0.6667,0.6667,0.6667
ego_dense_00187,ego_dense,unspecified,medium,1,embedding,6,0.3333,False,10,1.0,1.0,partial,0.5,0.5,0.5
ego_dense_00188,ego_dense,unspecified,medium,1,embedding,5,0.3,False,9,1.0,1.0,none,0.4,0.4,0.4
ego_dense_00189,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,4,1.0,0.9797,exact,1.0,1.0,1.0
ego_dense_00190,ego_dense,unspecified,medium,1,embedding,9,0.3194,False,9,1.0,0.9807,none,0.2222,0.2222,0.2222
ego_dense_00191,ego_dense,unspecified,medium,1,embedding,6,0.4,False,10,1.0,1.0,partial,0.5,0.5,0.5
ego_dense_00192,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,6,0.9924,0.992,partial,0.6667,0.6667,0.6667
ego_dense_00193,ego_dense,unspecified,medium,3,embedding,4,0.3333,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00194,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,1,0.9911,0.9911,partial,0.6667,0.6667,0.6667
ego_dense_00195,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,4,1.0,0.9993,partial,0.6667,0.6667,0.6667
ego_dense_00196,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00197,ego_dense,unspecified,medium,1,embedding,3,0.3333,False,5,1.0,1.0,partial,0.6667,0.6667,0.6667
ego_dense_00198,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,9,1.0,0.9953,exact,1.0,1.0,1.0
ego_dense_00199,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00200,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,10,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00201,ego_dense,unspecified,medium,1,embedding,4,0.3333,False,5,1.0,1.0,partial,0.5,0.5,0.5
ego_dense_00202,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,10,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00203,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,10,0.9982,0.9885,partial,0.6667,0.6667,0.6667
ego_dense_00204,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,8,1.0,0.9928,partial,0.6667,0.6667,0.6667
ego_dense_00205,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,6,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00206,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,10,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00207,ego_dense,unspecified,medium,1,embedding,5,0.3,False,5,1.0,1.0,none,0.0,0.0,0.0
ego_dense_00208,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,2,0.9859,0.9859,partial,0.6667,0.6667,0.6667
ego_dense_00209,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00210,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,10,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00211,ego_dense,unspecified,medium,1,embedding,6,0.3333,False,7,1.0,1.0,partial,0.5,0.5,0.5
ego_dense_00212,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,10,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00213,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00214,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00215,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,1,0.9638,0.9638,partial,0.6667,0.6667,0.6667
ego_dense_00216,ego_dense,unspecified,medium,1,embedding,3,0.3333,False,10,1.0,1.0,partial,0.6667,0.6667,0.6667
