query_id,strategy,source_label,heterogeneous,subgraph_size,reason,center,density
,,,,1,Too few nodes,1171574,0
,,,,5,Low density,1269331,0.2
,,,,7,Low density,187059,0.1905
,,,,12,Low density,264596,0.2045
,,,,5,Low density,1401272,0.2
,,,,12,Low density,326569,0.2045
,,,,35,Low density,533084,0.1
,,,,6,Low density,1023147,0.2333
,,,,2,Too few nodes,889724,0.5
,,,,8,Low density,206959,0.1429
,,,,20,Low density,1804955,0.1105
,,,,2,Too few nodes,1541286,0.5
,,,,2,Too few nodes,1090778,0.5
,,,,2,Too few nodes,366777,0.5
,,,,4,Low density,1013909,0.25
,,,,15,Low density,1214156,0.0714
,,,,1,Too few nodes,1149180,0
,,,,2,Too few nodes,848227,0.5
,,,,4,Low density,609399,0.25
,,,,4,Low density,421426,0.25
,,,,5,Low density,1933183,0.2
,,,,11,Low density,318545,0.1364
,,,,29,Low density,1846234,0.1219
,,,,2,Too few nodes,1693419,0.5
,,,,2,Too few nodes,465087,0.5
,,,,7,Low density,17344,0.2857
,,,,2,Too few nodes,1074262,0.5
,,,,2,Too few nodes,1822070,0.5
,,,,1,Too few nodes,1597420,0
,,,,11,Low density,1857188,0.1455
,,,,4,Low density,546671,0.25
,,,,19,Low density,1800007,0.2251
,,,,4,Low density,1560918,0.25
,,,,1,Too few nodes,1199406,0
,,,,1,Too few nodes,1196642,0
,,,,1,Too few nodes,1625868,0
,,,,2,Too few nodes,218564,0.5
,,,,1,Too few nodes,1564086,0
,,,,2,Too few nodes,516629,0.5
,,,,2,Too few nodes,1777939,0.5
,,,,1,Too few nodes,1282984,0
,,,,2,Too few nodes,791411,0.5
,,,,18,Low density,1217948,0.1046
,,,,4,Low density,1942225,0.25
,,,,8,Low density,1394868,0.2143
,,,,2,Too few nodes,1002580,0.5
,,,,1,Too few nodes,1663431,0
,,,,18,Low density,1765992,0.2386
,,,,6,Low density,809907,0.2333
,,,,2,Too few nodes,1454176,0.5
,,,,4,Low density,204745,0.25
,,,,1,Too few nodes,1411946,0
,,,,267,Low density,244564,0.0159
,,,,4,Low density,850258,0.25
,,,,2,Too few nodes,708775,0.5
,,,,13,Low density,1250352,0.0769
,,,,6,Low density,259168,0.1667
,,,,5,Low density,417607,0.2
,,,,1,Too few nodes,1385744,0
,,,,2,Too few nodes,837008,0.5
,,,,2,Too few nodes,1276187,0.5
,,,,8,Low density,1987127,0.2143
,,,,1,Too few nodes,1642390,0
,,,,37,Low density,1721303,0.1389
,,,,5,Low density,1957823,0.2
,,,,7,Low density,1306694,0.2857
,,,,16,Low density,1206280,0.0667
,,,,4,Low density,1124163,0.25
,,,,20,Low density,623249,0.1263
,,,,2,Too few nodes,657782,0.5
,,,,2,Too few nodes,449521,0.5
,,,,2,Too few nodes,847589,0.5
,,,,6,Low density,1947925,0.2333
,,,,1,Too few nodes,1184269,0
,,,,17,Low density,912412,0.0956
,,,,2,Too few nodes,454828,0.5
,,,,6,Low density,66431,0.2333
,,,,4,Low density,916486,0.25
,,,,5,Low density,237380,0.2
,,,,2,Too few nodes,1541323,0.5
,,,,15,Low density,1864992,0.1143
,,,,2,Too few nodes,1257432,0.5
,,,,7,Low density,915210,0.1429
,,,,1,Too few nodes,1443353,0
,,,,2,Too few nodes,457056,0.5
,,,,2,Too few nodes,1774765,0.5
,,,,2,Too few nodes,1582016,0.5
,,,,14,Low density,1240183,0.0714
,,,,66,Low density,254611,0.0494
,,,,5,Low density,471503,0.25
,,,,1,Too few nodes,1305195,0
,,,,17,Low density,1214298,0.0772
,,,,2,Too few nodes,412109,0.5
,,,,4,Low density,1538957,0.25
,,,,2,Too few nodes,866552,0.5
,,,,1,Too few nodes,1255468,0
,,,,2,Too few nodes,1386729,0.5
,,,,5,Low density,1965288,0.2
,,,,9,Low density,1883752,0.2917
,,,,5,Low density,477279,0.25
,,,,8,Low density,1807357,0.2857
,,,,6,Low density,8593,0.2667
,,,,1,Too few nodes,1534287,0
,,,,2,Too few nodes,434641,0.5
,,,,18,Low density,1774158,0.1242
,,,,2,Too few nodes,1444309,0.5
,,,,12,Low density,274649,0.1061
,,,,11,Low density,148964,0.1636
,,,,12,Low density,537435,0.1136
,,,,2,Too few nodes,685564,0.5
,,,,26,Low density,1429820,0.1169
,,,,8,Low density,633475,0.1429
,,,,11,Low density,1105220,0.0909
,,,,2,Too few nodes,47293,0.5
,,,,32,Low density,1448025,0.2077
,,,,2,Too few nodes,1322096,0.5
,,,,13,Low density,1803472,0.109
,,,,2,Too few nodes,1351115,0.5
,,,,4,Low density,391678,0.25
,,,,6,Low density,359407,0.2
,,,,1,Too few nodes,1597519,0
,,,,10,Low density,1794152,0.1444
,,,,2,Too few nodes,382783,0.5
,,,,4,Low density,902371,0.25
,,,,4,Low density,364500,0.25
,,,,1,Too few nodes,1466819,0
,,,,2,Too few nodes,1979577,0.5
,,,,4,Low density,555003,0.25
,,,,16,Low density,1390245,0.1083
,,,,6,Low density,38635,0.2
,,,,6,Low density,976906,0.1667
,,,,1,Too few nodes,1798193,0
,,,,1,Too few nodes,1188144,0
,,,,10,Low density,1872396,0.1111
,,,,1,Too few nodes,1186321,0
,,,,1,Too few nodes,1447546,0
,,,,17,Low density,339039,0.0846
,,,,10,Low density,627898,0.1778
,,,,7,Low density,1044572,0.1905
,,,,2,Too few nodes,655641,0.5
,,,,2,Too few nodes,1058561,0.5
,,,,2,Too few nodes,641670,0.5
,,,,9,Low density,675495,0.2361
,,,,7,Low density,230638,0.1667
,,,,4,Low density,301737,0.25
,,,,234,Low density,163698,0.0145
,,,,2,Too few nodes,35865,0.5
,,,,1,Too few nodes,1153656,0
,,,,17,Low density,1216934,0.1213
,,,,8,Low density,1779075,0.125
,,,,1,Too few nodes,1470316,0
,,,,2,Too few nodes,427586,0.5
,,,,8,Low density,1555510,0.1607
,,,,1,Too few nodes,1196992,0
,,,,1,Too few nodes,1257848,0
,,,,2,Too few nodes,811277,0.5
,,,,4,Low density,92362,0.25
,,,,7,Low density,1214434,0.1429
,,,,4,Low density,811325,0.25
,,,,4,Low density,306559,0.25
,,,,1,Too few nodes,1202659,0
,,,,6,Low density,56229,0.1667
,,,,10,Low density,1681887,0.1889
,,,,2,Too few nodes,695704,0.5
,,,,13,Low density,916918,0.1154
,,,,5,Low density,553435,0.25
,,,,7,Low density,173722,0.2143
,,,,9,Low density,1912082,0.1528
,,,,2,Too few nodes,193762,0.5
,,,,4,Low density,354586,0.25
,,,,4,Low density,891572,0.25
,,,,200,Low density,1067899,0.0112
,,,,19,Low density,1241465,0.0643
,,,,2,Too few nodes,272088,0.5
,,,,15,Low density,1568232,0.1143
,,,,4,Low density,941586,0.25
,,,,10,Low density,941393,0.1889
,,,,1,Too few nodes,1679549,0
,,,,2,Too few nodes,773933,0.5
,,,,9,Low density,1623490,0.1944
,,,,2,Too few nodes,967736,0.5
,,,,9,Low density,1778605,0.1111
,,,,2,Too few nodes,734680,0.5
,,,,2,Too few nodes,701538,0.5
,,,,1,Too few nodes,1419992,0
,,,,17,Low density,1741894,0.1728
,,,,2,Too few nodes,1027324,0.5
,,,,4,Low density,1945488,0.25
,,,,1,Too few nodes,1165627,0
,,,,5,Low density,1959690,0.2
,,,,13,Low density,1814284,0.0962
,,,,8,Low density,9516,0.1964
,,,,13,Low density,1231152,0.1218
,,,,9,Low density,1725559,0.2361
,,,,2,Too few nodes,702151,0.5
,,,,8,Low density,552594,0.1607
,,,,10,Low density,1232718,0.1
,,,,31,Low density,125752,0.0645
,,,,6,Low density,1879580,0.2333
,,,,2,Too few nodes,730341,0.5
,,,,1,Too few nodes,1257253,0
,,,,6,Low density,206716,0.2
,,,,8,Low density,565752,0.1786
,,,,156,Low density,1799506,0.0264
,,,,6,Low density,1771580,0.2333
,,,,6,Low density,298666,0.2
,,,,2,Too few nodes,383283,0.5
,,,,8,Low density,715402,0.1607
,,,,1,Too few nodes,1465327,0
,,,,14,Low density,1246969,0.0714
,,,,1,Too few nodes,1170857,0
,,,,1,Too few nodes,1181684,0
,,,,4,Low density,706821,0.25
,,,,2,Too few nodes,821947,0.5
,,,,16,Low density,1229350,0.0917
,,,,21,Low density,1928512,0.1952
,,,,4,Low density,1801547,0.25
,,,,6,Low density,1444101,0.1667
,,,,2,Too few nodes,221708,0.5
,,,,1,Too few nodes,1378838,0
,,,,9,Low density,1595338,0.1667
,,,,2,Too few nodes,545104,0.5
,,,,1,Too few nodes,1440710,0
,,,,2,Too few nodes,741591,0.5
,,,,7,Low density,47584,0.1905
,,,,6,Low density,1014989,0.2
,,,,1,Too few nodes,1592625,0
,,,,1,Too few nodes,1322607,0
,,,,2,Too few nodes,325027,0.5
,,,,35,Low density,1373138,0.0513
,,,,20,Low density,1230936,0.1105
,,,,11,Low density,1875996,0.1455
,,,,9,Low density,1423866,0.2222
,,,,5,Low density,65206,0.25
,,,,2,Too few nodes,676161,0.5
,,,,4,Low density,1708816,0.25
,,,,1,Too few nodes,1502494,0
,,,,77,Low density,1861670,0.0226
,,,,4,Low density,262373,0.25
,,,,2,Too few nodes,1078815,0.5
,,,,5,Low density,561530,0.2
,,,,10,Low density,1393040,0.2
,,,,15,Low density,1790893,0.1048
,,,,1,Too few nodes,1391960,0
,,,,7,Low density,1852131,0.2381
,,,,5,Low density,897475,0.2
,,,,10,Low density,1428893,0.1556
,,,,2,Too few nodes,1592789,0.5
,,,,14,Low density,1692114,0.1648
,,,,4,Low density,1559433,0.25
,,,,13,Low density,1220234,0.0769
,,,,7,Low density,1891043,0.2619
,,,,6,Low density,338865,0.1667
,,,,1,Too few nodes,1161156,0
,,,,57,Low density,1764767,0.1397
,,,,5,Low density,109590,0.25
,,,,6,Low density,700672,0.2
,,,,8,Low density,1649107,0.1607
,,,,2,Too few nodes,367419,0.5
,,,,64,Low density,1911314,0.1069
,,,,13,Low density,1226062,0.0769
,,,,4,Low density,1065774,0.25
,,,,8,Low density,98751,0.2857
,,,,1,Too few nodes,1263351,0
,,,,5,Low density,577861,0.2
,,,,12,Low density,1227230,0.0833
,,,,4,Low density,1040909,0.25
,,,,24,Low density,102415,0.1033
,,,,21,Low density,929640,0.0762
,,,,15,Low density,1708336,0.1238
,,,,2,Too few nodes,723072,0.5
,,,,6,Low density,492605,0.2667
,,,,14,Low density,1860522,0.1154
,,,,1,Too few nodes,1202524,0
,,,,34,Low density,1651894,0.1087
,,,,11,Low density,1527961,0.2636
,,,,1,Too few nodes,1158300,0
,,,,2,Too few nodes,102838,0.5
,,,,4,Low density,4168,0.25
,,,,17,Low density,1465046,0.1287
,,,,1,Too few nodes,1274543,0
,,,,19,Low density,1389572,0.117
,,,,2,Too few nodes,1650240,0.5
,,,,2,Too few nodes,360241,0.5
,,,,6,Low density,214845,0.2667
,,,,1,Too few nodes,1486649,0
,,,,8,Low density,1541974,0.1964
,,,,13,Low density,1730967,0.1474
,,,,16,Low density,1206477,0.0667
,,,,16,Low density,1739835,0.1417
,,,,2,Too few nodes,1258867,0.5
,,,,1,Too few nodes,1643985,0
,,,,10,Low density,246290,0.1444
,,,,2,Too few nodes,1935717,0.5
,,,,4,Low density,299866,0.25
,,,,4,Low density,264748,0.25
,,,,1,Too few nodes,1169032,0
,,,,2,Too few nodes,790720,0.5
,,,,2,Too few nodes,739874,0.5
,,,,2,Too few nodes,571571,0.5
,,,,1,Too few nodes,1167329,0
,,,,4,Low density,944962,0.25
,,,,21,Low density,561271,0.1
,,,,8,Low density,1461363,0.1964
,,,,1,Too few nodes,1429955,0
,,,,36,Low density,863169,0.0294
,,,,8,Low density,1498812,0.2143
,,,,4,Low density,317374,0.25
,,,,34,Low density,1781610,0.0784
,,,,9,Low density,1910292,0.1528
,,,,5,Low density,1385756,0.2
,,,,2,Too few nodes,492132,0.5
,,,,2,Too few nodes,532574,0.5
,,,,5,Low density,711890,0.2
,,,,10,Low density,1454241,0.1111
,,,,6,Low density,234898,0.1667
,,,,8,Low density,328801,0.1429
,,,,5,Low density,38651,0.2
,,,,2,Too few nodes,1429818,0.5
,,,,10,Low density,1394669,0.2
,,,,16,Low density,1093238,0.0792
,,,,7,Low density,1687866,0.1429
,,,,1,Too few nodes,1168973,0
,,,,2,Too few nodes,1128531,0.5
,,,,22,Low density,1882250,0.0887
,,,,5,Low density,1498693,0.25
,,,,2,Too few nodes,290208,0.5
,,,,8,Low density,388398,0.1786
,,,,9,Low density,242938,0.1389
,,,,5,Low density,1498023,0.25
,,,,2,Too few nodes,1542888,0.5
,,,,2,Too few nodes,428257,0.5
,,,,2,Too few nodes,1579126,0.5
,,,,2,Too few nodes,258793,0.5
,,,,2,Too few nodes,1705104,0.5
,,,,2,Too few nodes,646819,0.5
,,,,1,Too few nodes,1561528,0
,,,,4,Low density,641974,0.25
,,,,1,Too few nodes,1327945,0
,,,,17,Low density,1905200,0.1654
,,,,108,Low density,166345,0.0379
,,,,5,Low density,929878,0.2
,,,,91,Low density,48111,0.0397
,,,,2,Too few nodes,578777,0.5
,,,,9,Low density,1634249,0.25
,,,,5,Low density,783982,0.2
,,,,6,Low density,286865,0.1667
,,,,1,Too few nodes,1192578,0
,,,,4,Low density,599445,0.25
,,,,18,Low density,1852607,0.0882
,,,,1,Too few nodes,1160817,0
,,,,16,Low density,75346,0.125
,,,,12,Low density,1050265,0.1439
,,,,5,Low density,1035307,0.2
,,,,1,Too few nodes,1309253,0
,,,,9,Low density,90071,0.1528
,,,,2,Too few nodes,40572,0.5
,,,,1,Too few nodes,1176001,0
,,,,2,Too few nodes,107293,0.5
,,,,2,Too few nodes,409611,0.5
,,,,5,Low density,1984989,0.2
,,,,5,Low density,326907,0.25
,,,,8,Low density,1958601,0.125
,,,,17,Low density,1503855,0.1507
,,,,4,Low density,1382921,0.25
,,,,15,Low density,563016,0.1952
,,,,17,Low density,1256713,0.1213
,,,,11,Low density,1249966,0.0909
,,,,4,Low density,954080,0.25
,,,,17,Low density,353042,0.114
,,,,2,Too few nodes,673806,0.5
,,,,2,Too few nodes,119348,0.5
,,,,4,Low density,571805,0.25
,,,,11,Low density,1218985,0.0909
,,,,39,Low density,281335,0.0695
,,,,5,Low density,1771037,0.25
,,,,2,Too few nodes,1528664,0.5
,,,,7,Low density,1827179,0.2857
,,,,6,Low density,454792,0.2
,,,,2,Too few nodes,581196,0.5
,,,,9,Low density,1933073,0.1667
,,,,2,Too few nodes,1552829,0.5
,,,,1,Too few nodes,1518471,0
,,,,27,Low density,1731511,0.1353
,,,,4,Low density,546877,0.25
,,,,15,Low density,1925882,0.1762
,,,,4,Low density,1665247,0.25
,,,,2,Too few nodes,1914516,0.5
,,,,6,Low density,1447670,0.2333
,,,,2,Too few nodes,799195,0.5
,,,,4,Low density,343951,0.25
,,,,7,Low density,249024,0.1429
,,,,5,Low density,1366750,0.25
,,,,2,Too few nodes,1605167,0.5
,,,,30,Low density,968344,0.0632
,,,,2,Too few nodes,413233,0.5
,,,,1,Too few nodes,1461682,0
,,,,10,Low density,125285,0.1778
,,,,6,Low density,653494,0.2667
,,,,1,Too few nodes,1203045,0
,,,,8,Low density,1881792,0.2321
,,,,10,Low density,1294474,0.1778
,,,,2,Too few nodes,635228,0.5
,,,,18,Low density,1761412,0.1111
,,,,91,Low density,1749046,0.0895
,,,,2,Too few nodes,429369,0.5
,,,,1,Too few nodes,1307357,0
,,,,6,Low density,136522,0.1667
,,,,2,Too few nodes,1541688,0.5
,,,,1,Too few nodes,1384574,0
,,,,8,Low density,629530,0.125
,,,,7,Low density,785627,0.1667
,,,,2,Too few nodes,733384,0.5
,,,,1,Too few nodes,1170549,0
,,,,2,Too few nodes,184864,0.5
,,,,13,Low density,1491241,0.1987
,,,,6,Low density,1985800,0.2333
,,,,2,Too few nodes,928013,0.5
,,,,5,Low density,868833,0.25
,,,,1,Too few nodes,1135351,0
,,,,4,Low density,1982539,0.25
,,,,1,Too few nodes,1163570,0
,,,,4,Low density,452808,0.25
,,,,2,Too few nodes,152264,0.5
,,,,6,Low density,599862,0.1667
,,,,8,Low density,1863966,0.2143
,,,,4,Low density,1841680,0.25
,,,,8,Low density,1572841,0.1607
,,,,2,Too few nodes,37206,0.5
,,,,1,Too few nodes,1404327,0
,,,,2,Too few nodes,704068,0.5
,,,,4,Low density,1453021,0.25
,,,,16,Low density,1784313,0.225
,,,,14,Low density,1251527,0.0714
,,,,2,Too few nodes,687557,0.5
,,,,6,Low density,1361732,0.2667
,,,,2,Too few nodes,675591,0.5
,,,,39,Low density,1711541,0.0897
,,,,18,Low density,1328586,0.098
,,,,2,Too few nodes,526356,0.5
,,,,2,Too few nodes,983681,0.5
,,,,16,Low density,1761096,0.1958
,,,,7,Low density,1013522,0.2857
,,,,6,Low density,262054,0.2
,,,,6,Low density,116861,0.2333
,,,,13,Low density,1539199,0.109
,,,,4,Low density,395936,0.25
,,,,1,Too few nodes,1144444,0
,,,,13,Low density,1854568,0.1282
,,,,1,Too few nodes,1267042,0
,,,,4,Low density,757658,0.25
,,,,12,Low density,198001,0.1212
,,,,5,Low density,337928,0.25
,,,,43,Low density,1742060,0.1927
,,,,9,Low density,28188,0.1944
,,,,6,Low density,189860,0.2333
,,,,2,Too few nodes,1796827,0.5
,,,,5,Low density,1382250,0.25
,,,,2,Too few nodes,779346,0.5
,,,,7,Low density,1587105,0.1905
,,,,5,Low density,323529,0.2
,,,,11,Low density,861751,0.0909
,,,,8,Low density,85318,0.125
,,,,1,Too few nodes,1642602,0
,,,,1,Too few nodes,1414148,0
,,,,2,Too few nodes,879571,0.5
,,,,2,Too few nodes,1962531,0.5
,,,,1,Too few nodes,1160846,0
,,,,4,Low density,81939,0.25
,,,,1,Too few nodes,1294658,0
,,,,10,Low density,1743885,0.2333
,,,,4,Low density,1546224,0.25
,,,,15,Low density,1249807,0.119
,,,,5,Low density,875318,0.25
,,,,16,Low density,1407700,0.0958
,,,,5,Low density,1113126,0.2
,,,,6,Low density,1073974,0.2333
,,,,2,Too few nodes,1442409,0.5
,,,,2,Too few nodes,1392849,0.5
,,,,1,Too few nodes,1506670,0
,,,,2,Too few nodes,630818,0.5
,,,,2,Too few nodes,659260,0.5
,,,,12,Low density,53039,0.1364
,,,,38,Low density,281536,0.0676
,,,,18,Low density,144617,0.1961
,,,,2,Too few nodes,230243,0.5
,,,,4,Low density,67068,0.25
,,,,5,Low density,323709,0.2
,,,,2,Too few nodes,41750,0.5
,,,,14,Low density,1803213,0.1813
,,,,22,Low density,1242772,0.0974
,,,,4,Low density,414828,0.25
,,,,23,Low density,1505153,0.1225
,,,,275,Low density,74780,0.0145
,,,,2,Too few nodes,1964147,0.5
,,,,20,Low density,831847,0.0816
,,,,5,Low density,1047176,0.2
,,,,4,Low density,838080,0.25
,,,,6,Low density,424456,0.2
,,,,13,Low density,1218366,0.0897
,,,,4,Low density,494145,0.25
,,,,22,Low density,236330,0.1169
,,,,2,Too few nodes,865711,0.5
,,,,1,Too few nodes,1648383,0
,,,,32,Low density,1843507,0.0968
,,,,1,Too few nodes,1177078,0
,,,,12,Low density,511826,0.0909
,,,,4,Low density,225448,0.25
,,,,2,Too few nodes,699221,0.5
,,,,12,Low density,1121383,0.1136
,,,,2,Too few nodes,884530,0.5
,,,,2,Too few nodes,718804,0.5
,,,,34,Low density,1804896,0.1462
,,,,25,Low density,1810599,0.275
,,,,2,Too few nodes,34365,0.5
,,,,2,Too few nodes,502327,0.5
,,,,5,Low density,586039,0.2
,,,,27,Low density,474736,0.0741
,,,,7,Low density,599141,0.1905
,,,,2,Too few nodes,1574989,0.5
,,,,2,Too few nodes,620520,0.5
,,,,1,Too few nodes,1150011,0
,,,,11,Low density,1934177,0.1364
,,,,2,Too few nodes,627614,0.5
,,,,20,Low density,618353,0.1237
,,,,4,Low density,58638,0.25
,,,,17,Low density,106435,0.1287
,,,,2,Too few nodes,1388632,0.5
,,,,12,Low density,1542420,0.1515
,,,,32,Low density,33490,0.129
,,,,11,Low density,1203706,0.0909
,,,,2,Too few nodes,995833,0.5
,,,,2,Too few nodes,358028,0.5
,,,,87,Low density,195100,0.0503
,,,,6,Low density,183164,0.1667
,,,,7,Low density,268144,0.1429
,,,,59,Low density,895630,0.0316
,,,,13,Low density,1457593,0.0897
,,,,9,Low density,1860934,0.1528
,,,,1,Too few nodes,1633178,0
,,,,2,Too few nodes,800114,0.5
,,,,10,Low density,1286067,0.1222
,,,,1,Too few nodes,1420653,0
,,,,4,Low density,125843,0.25
,,,,2,Too few nodes,1056449,0.5
,,,,4,Low density,244703,0.25
,,,,9,Low density,94612,0.1806
,,,,2,Too few nodes,895268,0.5
,,,,10,Low density,91260,0.1556
,,,,4,Low density,1374999,0.25
,,,,17,Low density,1248305,0.0772
,,,,2,Too few nodes,901012,0.5
,,,,1,Too few nodes,1163789,0
,,,,10,Low density,1343211,0.2444
,,,,2,Too few nodes,122091,0.5
,,,,1,Too few nodes,1514740,0
,,,,5,Low density,992817,0.2
,,,,21,Low density,29910,0.0929
,,,,9,Low density,1285722,0.1667
,,,,6,Low density,1294233,0.2333
,,,,6,Low density,972785,0.2667
,,,,1,Too few nodes,1642870,0
,,,,18,Low density,1415074,0.1438
,,,,8,Low density,1827350,0.2679
,,,,11,Low density,1251232,0.0909
,,,,1,Too few nodes,1167410,0
,,,,6,Low density,1337472,0.2333
,,,,19,Low density,1883812,0.1345
,,,,2,Too few nodes,653173,0.5
,,,,12,Low density,1711498,0.1818
,,,,6,Low density,90774,0.2
,,,,8,Low density,1819260,0.1429
,,,,6,Low density,1730979,0.2333
,,,,2,Too few nodes,649379,0.5
,,,,2,Too few nodes,1497976,0.5
,,,,32,Low density,235237,0.0585
,,,,47,Low density,308467,0.0416
,,,,4,Low density,176933,0.25
,,,,2,Too few nodes,202445,0.5
,,,,25,Low density,1117225,0.04
,,,,4,Low density,1699514,0.25
,,,,2,Too few nodes,418619,0.5
,,,,2,Too few nodes,1569475,0.5
,,,,4,Low density,18171,0.25
,,,,4,Low density,226134,0.25
,,,,15,Low density,79634,0.1381
,,,,55,Low density,1732299,0.0616
,,,,1,Too few nodes,1378309,0
,,,,1,Too few nodes,1169347,0
,,,,26,Low density,84931,0.08
,,,,5,Low density,152429,0.2
,,,,2,Too few nodes,941715,0.5
,,,,2,Too few nodes,1125259,0.5
,,,,9,Low density,1112193,0.1111
,,,,9,Low density,585648,0.1806
,,,,2,Too few nodes,682030,0.5
,,,,2,Too few nodes,1589727,0.5
,,,,2,Too few nodes,272644,0.5
,,,,6,Low density,1664853,0.1667
,,,,13,Low density,1864071,0.109
,,,,24,Low density,483156,0.1467
,,,,11,Low density,1908920,0.1909
,,,,7,Low density,1824278,0.1667
,,,,7,Low density,1898817,0.2381
,,,,1,Too few nodes,1605560,0
,,,,5,Low density,1287314,0.2
,,,,9,Low density,1507750,0.1667
,,,,8,Low density,1377207,0.2321
,,,,2,Too few nodes,387260,0.5
,,,,14,Low density,135298,0.0879
,,,,4,Low density,1553373,0.25
,,,,6,Low density,690329,0.2667
,,,,2,Too few nodes,502244,0.5
,,,,2,Too few nodes,840246,0.5
,,,,7,Low density,1370163,0.2381
,,,,1,Too few nodes,1861520,0
,,,,4,Low density,590886,0.25
,,,,1,Too few nodes,1570025,0
,,,,2,Too few nodes,795347,0.5
,,,,5,Low density,922021,0.25
,,,,6,Low density,343634,0.1667
,,,,11,Low density,985116,0.2182
,,,,11,Low density,152593,0.1182
,,,,4,Low density,953845,0.25
,,,,2,Too few nodes,1676003,0.5
,,,,17,Low density,1855879,0.1544
,,,,10,Low density,1661850,0.1778
,,,,2,Too few nodes,846142,0.5
,,,,12,Low density,1499088,0.1894
,,,,2,Too few nodes,1577208,0.5
,,,,1,Too few nodes,1642698,0
,,,,13,Low density,1315953,0.1795
,,,,1,Too few nodes,1585991,0
,,,,9,Low density,1106444,0.1806
,,,,2,Too few nodes,1256489,0.5
,,,,12,Low density,1404654,0.1288
,,,,5,Low density,338272,0.2
,,,,11,Low density,1870327,0.1455
,,,,5,Low density,778975,0.2
,,,,5,Low density,272065,0.25
,,,,5,Low density,597257,0.2
,,,,4,Low density,99920,0.25
,,,,1,Too few nodes,1599239,0
,,,,6,Low density,1849505,0.2667
,,,,12,Low density,1406903,0.1061
,,,,2,Too few nodes,818492,0.5
,,,,6,Low density,356938,0.2
,,,,6,Low density,507337,0.2
,,,,1,Too few nodes,1434032,0
,,,,1,Too few nodes,1251688,0
,,,,2,Too few nodes,763910,0.5
